チームID,選手ID,背番号,選手名,ポジション,出身地,出身校,国籍,生年月日,身長,体重,在籍フラグ,No.
726,8446,7,伊藤 駿,PG,宮城県,青山学院大学,日本,19900214,174,73,1,14
726,8447,9,ベンドラメ 礼生,PG,福岡県,東海大学,日本,19931114,183,79,1,14
726,8448,10,アキ・チェンバース,SF,東京都,カリフォルニア大学マーセド校,日本,19900919,190,85,1,14
726,8449,14,大塚 裕土,PG/SG,北海道,東海大学,日本,19870823,188,82,1,14
726,8450,24,広瀬 健太,SF,島根県,青山学院,日本,19850711,193,90,1,14
726,8451,39,藤高 宗一郎,SF,大阪府,関西大学,日本,19911011,189,91,1,14
726,8452,33,アイラ・ブラウン,SF/PF,アメリカ合衆国,ゴンザガ大学,日本,19820803,193,105,1,14
694,8454,13,山田 謙治,PG,神奈川県,法政大学,日本,19830728,180,84,1,14
694,8455,3,蒲谷 正之,SG,神奈川県,日本大学,日本,19820702,184,83,1,14
699,8456,1,小島 元基,PG/SG,茨城県,東海大学,日本,19940219,180,84,1,14
699,8457,8,村上 直,PG,大阪府,同志社大学,日本,19861204,179,72,1,14
699,8458,15,佐藤 託矢,PF,大阪府,青山学院大学,日本,19830825,198,102,1,14
699,8459,33,内海 慎吾,SG,北海道,東海大学,日本,19840428,188,88,1,14
699,8460,34,籔内 幸樹,PG/SG,大阪府,大阪体育大学,日本,19840822,184,80,1,14
698,8461,23,横江 豊,PG,滋賀県,日本体育大学,日本,19890419,176,68,1,14
698,8462,0,小林 遥太,PG,新潟県,青山学院大学,日本,19910912,178,77,1,14
698,8463,34,狩野 祐介,SG,福岡県,東海大学,日本,19900418,184,80,1,14
698,8464,8,田中 大地,SF,東京都,東京成徳大,日本,19890205,185,91,1,14
698,8465,22,樋口 大倫,PF,愛知県,専修大学,日本,19900813,191,104,1,14
693,8466,2,水町 亮介,PG,佐賀県,学習院大学,日本,19810910,186,83,1,14
693,8467,3,安藤 誓哉,PG,東京都,明治大学,日本,19920715,181,80,1,14
693,8468,5,田口 成浩,SG,秋田県,富士大学,日本,19900325,184,84,1,14
693,8469,11,菅澤 紀行,SF/PF,茨城県,鹿屋体育大学,日本,19870203,192,87,1,14
693,8470,55,谷口 大智,PF/C,奈良県,サウスイースタン・オクラホマ州立大学,日本,19900415,201,105,1,14
695,8471,5,佐藤 優樹,SG,新潟県,アップルスポーツカレッジ,日本,19870503,182,81,1,14
695,8472,8,八幡 圭祐,SG,神奈川県,アラヌイ高校,日本,19910225,181,76,1,14
695,8473,16,本間 遼太郎,PG,新潟県,日本体育大学,日本,19921013,173,75,1,14
719,8474,18,加藤 竜太,PG,新潟県,新潟工業短期大学,日本,19930203,181,81,1,14
695,8475,23,佐藤 公威,SG,新潟県,新潟工業短期大学,日本,19840423,187,83,1,14
695,8476,32,池田 雄一,SF,新潟県,東海大学,日本,19830713,191,93,1,14
692,8477,4,志村 雄彦,PG,宮城県,慶應義塾大学,日本,19830214,160,65,1,14
692,8478,5,柳川 龍之介,SF,宮城県,白鴎大学,日本,19910611,188,84,1,14
692,8479,6,菊池 真人,PF,福島県,日本大学東北高等学校,日本,19890618,191,85,1,14
692,8480,14,佐藤 文哉,SG,宮城県,仙台大学,日本,19900704,170,73,1,14
692,8481,91,片岡 大晴,SG,宮城県,白鴎大学,日本,19851224,184,80,1,14
727,8482,0,藤井 祐眞,PG,島根県,拓殖大学,日本,19911223,178,75,1,14
727,8483,3,晴山 ケビン,SF,岩手県,東海大学,日本,19930114,189,93,1,14
727,8484,7,篠山 竜青,PG,神奈川県,日本大学,日本,19880720,178,78,1,14
727,8485,9,栗原 貴宏,SF,福島県,日本大学,日本,19871106,192,88,1,14
727,8486,11,野本 建吾,SF/PF,兵庫県,青山学院大学,日本,19920425,200,99,1,14
727,8487,14,辻 直人,SG,大阪府,青山学院大学,日本,19890908,185,82,1,14
727,8488,15,谷口 光貴,SG,奈良県,中央大学,日本,19921218,187,85,1,14
727,8489,18,鎌田 裕也,PF/C,福島県,大東文化大学,日本,19900511,197,113,1,14
727,8490,22,ニック・ファジーカス,C,アメリカ,ネバダ大学,アメリカ合衆国,19850617,210,111,1,14
727,8491,25,ジュフ 磨々道,PF,セネガル,デラウェア大学,日本,19770817,196,108,1,14
727,8492,33,長谷川 技,SG/SF,岩手県,拓殖大学,日本,19890721,190,90,1,14
727,8493,43,永吉 佑也,PF/C,鹿児島県,青山学院大学,日本,19910714,198,115,1,14
703,8494,11,須田 侑太郎,SG/SF,北海道,東海大学,日本,19920103,187,87,1,14
703,8495,3,前村 雄大,PG/SG,宮崎県,東海大学,日本,19870706,176,74,1,14
703,8496,21,橋本 晃佑,PF/C,栃木県,東海大学,日本,19930506,203,98,1,14
703,8497,9,遠藤 祐亮,PG/SG,千葉県,大東文化大学,日本,19891019,185,86,1,14
703,8498,27,熊谷 尚也,SF/PF,福岡県,日本体育大学,日本,19901116,195,90,1,14
703,8499,13,渡邉 裕規,PG/SG,神奈川県,青山学院大学,日本,19880322,180,78,1,14
703,8500,25,古川 孝敏,SG/SF,兵庫県,東海大学,日本,19871020,190,92,1,14
696,8501,9,水戸 健史,SG,富山県,近畿大学,日本,19850423,185,75,1,14
696,8502,34,サム・ウィラード,PF/C,オハイオ州,パシフィック大学,アメリカ合衆国,19880907,205,102,1,14
696,8503,11,宇都 直輝,SG,愛知県,専修大学,日本,19910611,190,80,1,14
696,8504,30,山崎 稜,SG,埼玉県,タコマ コミュニティー カレッジ,日本,19920925,182,80,1,14
696,8505,12,田中 健介,PG,静岡県,日本体育大学,日本,19850614,187,80,1,14
702,8506,3,牧 全,SG,愛知県,ソノマ州立大学,日本,19920616,188,86,1,14
702,8507,8,多嶋 朝飛,PG,北海道,東海大学,日本,19881008,173,71,1,14
702,8508,9,折茂 武彦,SG,埼玉県,日本大学,日本,19700514,190,77,1,14
702,8509,11,桜井 良太,SF,三重県,愛知学泉大学,日本,19830313,194,85,1,14
702,8510,12,西川 貴之,SF,北海道,明治大学,日本,19920114,196,88,1,14
712,8511,33,青島　心,C,中国（日本帰化）,近畿大学,日本,19830122,202,115,1,14
702,8512,23,野口 大介,SF/PF,北海道,日本体育大学,日本,19830526,196,90,1,14
702,8513,32,松島 良豪,PG,沖縄県,国士舘大学,日本,19920203,185,78,1,14
729,8514,0,石崎 巧,PG/SG,福井県,東海大学,日本,19840706,188,87,1,14
729,8515,11,鵜澤 潤,PF,千葉県,日本体育大学,日本,19811028,196,103,1,14
729,8516,12,中東 泰斗,SG,奈良県,明治大学,日本,19920618,191,80,1,14
729,8517,21,笹山 貴哉,PG,三重県,筑波大学,日本,19930215,180,77,1,14
717,8518,6,大塚 勇人,PG,埼玉県,早稲田大学,日本,19900403,173,69,1,14
717,8519,7,古閑 雅美,SG,熊本県,東海大学九州,日本,19910523,183,82,1,14
717,8520,10,杉本 慶,SG,滋賀県,中京大学,日本,19920709,182,80,1,14
717,8521,11,神津 祥平,SF,長野県,法政大学,日本,19870511,191,95,1,14
717,8522,15,シェリフ・ソウ,PF,セネガル,近畿大学,セネガル,19921215,201,88,1,14
717,8523,16,坂本 健,PF,静岡県,東海大学,日本,19890625,193,93,1,14
717,8524,18,小幡 滋,PF,大分県,立命館大学,日本,19891114,194,88,1,14
717,8525,21,ソロモン・ アラビ,C,ナイジェリア,フロリダ州立大学,ナイジェリア,19880321,216,115,1,14
717,8526,32,武藤 修平,PF,茨城県,筑波大学,日本,19911227,192,90,1,14
717,8527,5,伊藤 大,SG,愛知県,甲南大学,日本,19850730,183,80,1,14
721,8528,24,田中 成也,SG,新潟県,明治大学,日本,19910824,186,75,1,14
721,8529,18,鵤 誠司,PG,福岡県,青山学院大学,日本,19940108,185,90,1,14
721,8530,36,仲摩 匠平,SG,広島県,大阪商業大学,日本,19861005,183,75,1,14
721,8531,7,坂田 央,SF,東京都,日本大学,日本,19910918,193,80,1,14
721,8532,11,北川 弘,PG,滋賀県,日本体育大学,日本,19911016,183,70,1,14
721,8533,8,岡崎 修司,SG,広島県,広島大学,日本,19900812,183,75,1,14
721,8534,2,朝山 正悟,SG/SF,神奈川県,早稲田大学,日本,19810601,192,88,1,14
718,8535,3,松崎 賢人,PG,兵庫県,拓殖大学,日本,19880517,178,70,1,14
718,8536,9,谷 直樹,SF,兵庫県,甲南大学,日本,19880703,193,80,1,14
718,8537,10,坂井 レオ,PF/C,大阪府,京都産業大学,日本,19930829,195,96,1,14
718,8538,13,道原 紀晃,PG/SG,兵庫県,大阪商業大学,日本,19890907,178,66,1,14
718,8539,19,梁川 禎浩,SG,大阪府,筑波大学,日本,19860425,183,78,1,14
718,8540,24,石橋 晴行,PG,大阪府,大阪産業大学,日本,19731203,173,71,1,14
718,8541,2,丸山 公平,SG,鹿児島県,鹿屋体育大学,日本,19901011,180,80,1,14
708,8542,8,下山 大地,SG,青森県,岩手大学,日本,19890808,182,78,1,14
708,8543,6,館山 健太,SF/PF,秋田県,専修大学,日本,19901226,190,90,1,14
708,8544,15,下山 貴裕,PF,青森県,関東学院大学,日本,19920202,192,92,1,14
708,8545,19,山口 力也,SG,青森県,名古屋経済大学,日本,19960225,180,73,1,14
714,8546,6,長澤 健司,SG/SF,千葉県,法政大学,日本,19871009,184,86,1,14
714,8547,8,西山 達哉,PG/SG,神奈川県,駒澤大学,日本,19880720,172,65,1,14
714,8548,11,長谷川 凌,PF/C,神奈川県,専修大学,日本,19900618,194,90,1,14
714,8549,14,三浦 佑太,SF,北海道,日本大学,日本,19850408,184,77,1,14
714,8550,18,飛田 浩明,SG/SF,茨城県,日本大学,日本,19900818,184,90,1,14
714,8551,31,石田 剛規,SG/SF,茨城県,慶応義塾大学,日本,19820925,187,84,1,14
715,8552,7,渡邊 翔太,PG/SG,兵庫県,関西学院大学,日本,19930626,180,75,1,14
715,8553,19,中村 友也,PF,大阪府,中央大学,日本,19830204,198,90,1,14
715,8554,20,秋葉 真司,SG,山形県,明治大学,日本,19930910,185,80,1,14
715,8555,32,伊良部 勝志,PG/SG,沖縄県,近畿大学,日本,19910724,183,80,1,14
715,8556,35,高山 師門,PF,東京都,東海大学,日本,19900422,188,85,1,14
715,8557,92,村越 圭佑,PF,静岡県,筑波大学,日本,19940316,195,92,1,14
719,8558,0,本多 純平,SF,富山県,東京成徳大学,日本,19881207,190,94,1,14
719,8559,9,桝本 純也,SG,兵庫県,大阪体育大学,日本,19880725,183,80,1,14
719,8560,15,寺下 太基,PF,和歌山県,大阪産業大学,日本,19800225,191,88,1,14
719,8561,25,平尾 充庸,PG,徳島県,天理大学,日本,19890404,178,74,1,14
719,8562,13,小松 秀平,SG,北海道,国士舘大学,日本,19850610,184,83,1,14
697,8563,1,大石　慎之介,SG,静岡県,浜松大学,日本,19871215,171,69,1,14
697,8564,3,大口　真洋,SG,大阪府,天理大学,日本,19760106,172,73,1,14
697,8565,8,太田　敦也,C,愛知県,日本大学,日本,19840604,206,112,1,14
697,8566,9,川満　寿史,SF,沖縄県,東海大学（熊本キャンパス）,日本,19901114,188,80,1,14
697,8567,11,岡田　慎吾,SG,群馬県,國學院大學,日本,19830912,188,83,1,14
697,8568,15,鈴木　達也,PG,東京都,拓殖大学,日本,19910330,169,67,1,14
697,8569,45,鹿野　洵生,SF,埼玉県,筑波大学,日本,19880118,192,82,1,14
697,8570,47,並里　祐,PG,沖縄県,中部学院大学,日本,19870613,170,72,1,14
697,8571,73,田渡　修人,SG,東京都,筑波大学,日本,19900106,185,81,1,14
698,8577,6,長谷川　智伸,SG/SF,島根県,拓殖大学,日本,19901109,184,82,1,14
704,8578,1,阿部　友和,PG,福岡県,大東文化大学,日本,19850902,180,80,1,14
704,8579,3,マイケル・パーカー,PF,アメリカ,エバーグリーン州立大学,日本,19811205,200,98,1,14
704,8580,11,西村　文男,PG,三重県,東海大学,日本,19860924,177,68,1,14
704,8581,22,上江田　勇樹,SG/SF,沖縄県,日本大学,日本,19870617,193,87,1,14
704,8582,25,荒尾　岳,PF,富山県,青山学院大学,日本,19870115,198,97,1,14
704,8583,27,石井　講祐,SG,千葉県,東海大学,日本,19870929,182,83,1,14
704,8584,31,原　修太,SG/SF,千葉県,国士舘大学,日本,19931217,187,88,1,14
704,8585,34,小野　龍猛,SF/PF,東京都,中央大学,日本,19880106,197,100,1,14
704,8586,44,伊藤　俊亮,C,神奈川県,中央大学,日本,19790627,204,112,1,14
728,8587,0,橋本　竜馬,PG,福岡県,青山学院大学,日本,19880511,178,81,1,14
728,8588,3,柏木　真介,PG,北海道,中央大学,日本,19811222,183,83,1,14
728,8589,6,比江島　慎,PG/SG,福岡県,青山学院大学,日本,19900811,190,88,1,14
728,8590,4,狩俣　昌也,PG,沖縄県,国際武道大学,日本,19880428,178,80,1,14
728,8591,5,アイザック・バッツ,C,アメリカ合衆国,アパラチアン州立大学,アメリカ合衆国,19890528,208,133,1,14
728,8592,14,金丸　晃輔,SG/SF,福岡県,明治大学,日本,19890308,192,88,1,14
728,8593,21,ギャビン・エドワーズ,PF,アメリカ合衆国,コネチカット大学,アメリカ合衆国,19880115,206,110,1,14
728,8594,22,長谷川　智也,SG,新潟県,法政大学,日本,19890422,185,78,1,14
728,8595,24,加藤　寿一,SG,神奈川県,法政大学,日本,19931005,191,84,1,14
728,8596,32,桜木　ジェイアール,PF,アメリカ合衆国,UCLA,日本,19761030,203,105,1,14
728,8597,33,市岡　ショーン,PF,アメリカ合衆国,サンディエゴコミュニティカレッジ,日本,19910403,200,99,1,14
723,8598,33,俊野　達彦,SG,愛媛県,大阪商業大学,日本,19880118,185,80,1,14
723,8599,13,俊野　佳彦,SF,愛媛県,今治精華高校,日本,19920521,187,83,1,14
723,8600,31,岡本　将大,PG,岐阜県,大阪商業大学,日本,19921204,173,73,1,14
723,8601,5,田中　亮,SF,東京都,ブリガム・ヤング大学ハワイ校,日本,19870104,184,80,1,14
712,8602,1,一色　翔太,SG,茨城県,日本大学,日本,19870809,177,74,1,14
712,8603,2,夏　達維,SF,愛知県,名城高校,日本,19860530,184,80,1,14
712,8604,27,眞庭　城聖,PF,福岡県,日本体育大学,日本,19860527,193,88,1,14
712,8605,32,前田　陽介,PF,宮崎県,関東学院大学,日本,19890718,188,82,1,14
712,8606,37,河野　誠司,PG,宮崎県,関東学院大学,日本,19890814,172,72,1,14
713,8607,0,小淵　雅,PG/SG,群馬県,専修大学,日本,19830912,182,80,1,14
713,8608,1,トーマス・ケネディ,SF/PF,アメリカ合衆国,デトロイトメルシー,アメリカ合衆国,19870517,201,95,1,14
713,8609,11,藤原　隆充,PG/SG,福岡県,九州産業大学,日本,19780716,184,85,1,14
713,8610,23,種市　幸祐,SG/SF,静岡県,日本大学,日本,19871222,188,85,1,14
713,8611,15,栗原　奨太,SG/SF,群馬県,日本大学,日本,19930412,187,75,1,14
713,8612,36,高木　裕也,SG,北海道,アップルスポーツカレッジ,日本,19870825,180,73,1,14
713,8613,51,根東　裕隆,PG/SG,徳島県,天理大学,日本,19820629,184,84,1,14
710,8614,0,山本　柊輔,PG,静岡県,筑波大学,日本,19931104,176,70,1,14
710,8615,1,村上　駿斗,SG,山形県,山形県立山形南高等学校,日本,19960217,185,79,1,14
710,8616,2,石川　裕一,PG,福岡県,白鴎大学,日本,19901003,185,83,0,14
710,8617,5,目　健人,SF,埼玉県,明治大学,日本,19910417,191,94,0,14
710,8618,6,藤岡　昂希,SF,千葉県,専修大学,日本,19910718,192,87,1,14
710,8619,7,佐々木　瑛,SG,宮城県,筑波大学,日本,19870502,185,78,1,14
710,8620,9,佐藤　正成,SG,山形県,東海大学,日本,19910723,187,82,1,14
710,8621,14,高橋　祐二,PG,千葉県,国士舘大学,日本,19910506,183,71,1,14
710,8622,50,伊澤　実孝,SF,愛知県,明治大学,日本,19931122,195,99,1,14
712,8640,91,佐藤　浩貴,C,神奈川県,専修大学,日本,19811208,203,110,1,14
712,8641,11,山口　祐希,PG,東京都,ファイファー大学,日本,19861125,165,67,1,14
695,8642,0,遥　天翼,SF,中国,東海大学,日本,19881006,194,95,1,14
695,8643,3,畠山　俊樹,PG,宮城県,青山学院大学,日本,19910618,170,73,1,14
695,8645,7,五十嵐　圭,PG,新潟県,中央大学,日本,19800507,180,70,1,14
703,8648,91,落合 知也,SF/PF,東京都,法政大学,日本,19870618,195,93,1,14
703,8649,32,ライアン・ロシター,PF/C,アメリカ合衆国,Siena College,アメリカ合衆国,19890914,206,108,1,14
703,8650,0,田臥 勇太,PG,神奈川県,ブリガムヤング大学ハワイ校,日本,19801005,173,76,1,14
701,8651,5,アンソニー・マクヘンリー,SF/PF,米国,ジョージア工科大学,アメリカ合衆国,19830416,202,101,1,14
701,8652,6,金城　茂之,SG,沖縄県,大東文化大学,日本,19841123,185,80,1,14
701,8653,8,大宮 宏正,PF,栃木県,専修大学,日本,19830904,197,92,1,14
701,8654,13,津山 尚大,PG/SG,沖縄県,福岡大学附属大濠高校,日本,19960416,180,79,1,14
701,8655,14,岸本 隆一,PG/SG,沖縄県,大東文化大学,日本,19900517,176,75,1,14
701,8656,24,田代 直希,SF/PF,千葉県,専修大学,日本,19930624,188,90,1,14
701,8657,31,喜多川 修平,SF,神奈川県,専修大学,日本,19851001,185,83,1,14
701,8658,32,山内 盛久,PG/SG,沖縄県,尚学院国際ビジネスアカデミー,日本,19900323,173,68,1,14
701,8659,40,新城 真司,SF/PF,沖縄県,国際ビジネスアカデミー,日本,19920203,184,80,1,14
726,8662,0,満原　優樹,PF/C,神奈川県,東海大学,日本,19891227,198,102,1,14
696,8663,7,宮永　雄太,PG,北海道,大東文化大学,日本,19810801,183,80,1,14
696,8664,33,ドリュー・ヴァイニー,SF/PF,カリフォルニア州,ロヨラ・メリーマウント大学,アメリカ合衆国,19880917,204,100,1,14
716,8665,1,和田　保彦,PG/SG,千葉県,大東文化大学,日本,19900723,181,79,1,14
716,8666,2,德川　慎之介,SG,佐賀県,東海大学,日本,19930610,185,85,1,14
716,8667,5,武井　弘明,PG,長野県,國學院大學,日本,19910731,185,75,1,14
716,8668,6,齋藤　崇人,PG,新潟県,日本大学,日本,19850510,184,79,1,14
716,8669,7,古橋　広樹,SG,静岡県,神奈川大学,日本,19920104,185,85,1,14
716,8670,11,齊藤　洋介,SG,神奈川県,秦野高校,日本,19850519,184,78,1,14
716,8671,24,鈴木　大,PG/SG,山形県,新潟経営大学,日本,19900912,183,75,1,14
716,8672,26,上杉　翔,SF/PF,福島県,拓殖大学,日本,19900209,192,90,1,14
711,8673,5,友利　健哉,PG,沖縄県,専修大学,日本,19840812,177,75,1,14
711,8674,8,村上　慎也,PG,福岡県,九州共立大学,日本,19910305,172,64,1,14
711,8675,9,野上　淳史,SF,青森県,岩手大学,日本,19861025,184,72,1,14
711,8676,17,堀　洋輔,PF,愛知県,信州大学,日本,19930314,191,83,1,14
711,8677,21,菅野　翔太,SF,福島県,東北学院大学,日本,19920112,188,88,1,14
711,8678,28,枡田　祐介,SF,広島県,鹿屋体育大学,日本,19900516,184,78,1,14
711,8679,41,輪島　射矢,PG/SG,北海道,アップルスポーツカレッジ,日本,19851012,176,78,1,14
700,8680,1,今野　翔太,SG/SF,大阪府,大阪学院大学,日本,19850329,182,80,1,14
700,8681,11,綿貫　瞬,PG,神奈川県,神奈川大学,日本,19871102,178,70,1,14
700,8682,8,久保田　遼,PF,大分県,早稲田大学,日本,19891211,198,96,1,14
700,8683,18,相馬　卓弥,SG,宮崎県,天理大学,日本,19910705,182,81,1,14
700,8684,2,橋本　尚明,SG,愛媛県,近畿大学,日本,19920921,183,78,1,14
700,8688,15,根来　新之助,SF/PF,大阪府,天理大学,日本,19870819,195,95,1,14
700,8689,17,木下　博之,PG,大阪府,日本体育大学,日本,19800218,178,72,1,14
700,8690,20,合田　怜,PG,大阪府,大阪学院大学,日本,19930831,182,75,1,14
700,8701,14,橋本　拓哉,SG,大阪府,芦屋大学,日本,19941203,188,83,1,14
713,8702,50,梅津　大介,PF,青森県,筑波大学,日本,19900726,195,89,1,14
715,8703,10,中川　和之,PG,山口県,専修大学,日本,19820606,180,80,1,14
715,8704,21,西谷　亮一,SF,岡山県,金沢大学,日本,19880519,187,85,1,14
718,8705,8,竹野　明倫,PG,福岡県,大東文化大学,日本,19851123,173,65,1,14
714,8706,2,椎名　雄大,PF,東京都,中央大学,日本,19840206,188,83,1,14
714,8707,23,齋藤　豊,SF/PF,大阪府,筑波大学,日本,19800629,194,77,1,14
714,8708,33,宮田　諭,SG,東京都,早稲田大学,日本,19780109,177,67,1,14
698,8709,32,ジュリアン・マブンガ,PF,ジンバブエ,マイアミ大学,ジンバブエ / アメリカ合衆国,19900124,203,116,1,14
694,8710,7,堀川　竜一,SF,富山県,京都産業大学,日本,19790609,191,89,1,14
694,8711,33,喜久山　貴一,PG/SG,沖縄県,順天堂大学,日本,19920426,173,76,1,14
694,8712,0,細谷　将司,PG,神奈川県,関東学院大学,日本,19891002,173,73,1,14
694,8713,5,湊谷　安玲久司朱,SG,青森県,青山学院大学,日本,19880831,191,90,1,14
709,8714,1,大森　勇,G,岡山県,大阪教育大学,日本,19890223,174,70,1,14
709,8715,5,千葉　慎也,F,岩手県,白鴎大学,日本,19870926,185,85,1,14
709,8716,23,小寺　裕介,SG,東京都,東京経済大学,日本,19840810,180,76,1,14
709,8717,21,澤口　誠,G/F,岩手県,盛岡南高校,日本,19911205,185,87,1,14
709,8718,30,鈴木　友貴,SG,愛知県,大東文化大学,日本,19910429,185,84,1,14
694,8719,2,高島　一貴,SG,茨城県,早稲田大学,日本,19840225,191,86,1,14
694,8720,25,竹田　謙,SG,神奈川県,青山学院大学,日本,19781005,188,78,1,14
694,8721,1,川村　卓也,SG,岩手県,岩手県立盛岡南高等学校,日本,19860424,193,88,1,14
692,8722,3,石川　海斗,PG,東京都,日本大学,日本,19901130,171,72,1,14
692,8723,7,坂本　ジェイ,PF,セネガル,浜松大学,日本,19861115,206,100,1,14
692,8724,9,熊谷　宜之,SF,神奈川県,青山学院大学,日本,19851202,190,83,1,14
692,8725,33,楯　昌宗,PG,岐阜県,愛知学泉大学,日本,19880114,178,72,1,14
703,8726,10,竹内 公輔,PF/C,大阪府,慶應義塾大学,日本,19850129,206,100,1,14
699,8727,2,川嶋　勇人,PG,京都府,関西学院大学,日本,19900515,186,86,1,14
699,8728,17,日下　光,PG/SG,宮城県,日本大学,日本,19821021,174,71,1,14
699,8729,12,岡田　優介,SG,東京都,青山学院大学,日本,19840917,185,80,1,14
726,8730,1,清水　太志郎,PG/SG,宮崎県,筑波大学,日本,19810806,183,85,1,14
696,8731,31,城宝　匡史,SG,北海道,大阪商業大学,日本,19820424,183,83,1,14
696,8732,10,岡田　優,SG,滋賀県,近畿大学,日本,19830704,184,75,1,14
712,8733,25,米澤　翼,SG,宮崎県,九州産業大学,日本,19850105,185,75,1,14
693,8734,9,白濱　僚祐,SF,佐賀県,白鴎大学,日本,19910829,189,85,1,14
693,8735,16,高橋　憲一,SG,秋田県,東北学院大学,日本,19801222,181,78,1,14
729,8736,1,藤永 佳昭,PG,兵庫県,東海大学,日本,19920410,173,73,1,14
729,8737,6,船生 誠也,SF,福島県,青山学院大学,日本,19931215,190,85,1,14
729,8738,8,張本 天傑,SF/PF,愛知県,青山学院大学,日本,19920108,197,102,1,14
729,8739,18,中務　敏宏,SG/SF,大阪府,筑波大学,日本,19860418,188,85,1,14
723,8740,93,伴　晃生,PG,愛媛県,松山工業高等学校,日本,19930903,170,67,1,14
708,8741,81,下田　悠介,SF,神奈川県,関東学院大学,日本,19910707,188,81,1,14
708,8742,18,菅　俊男,SF,東京都,国士舘大学,日本,19940226,184,84,1,14
708,8743,58,永山　雄太,SG,沖縄県,国士舘大学,日本,19920913,187,80,1,14
708,8744,14,木村　啓太郎,PG,青森県,新潟医療福祉大学,日本,19930612,176,70,1,14
709,8755,68,永田　晃司,G,広島県,拓殖大学,日本,19810731,180,78,1,14
709,8756,34,小野寺　祥太,SG,岩手県,盛岡南高校,日本,19941106,183,73,1,14
709,8757,13,小原　良公,G,高知県,大東文化大学,日本,19890905,186,82,1,14
709,8758,54,澤地　サミュエル　Jr,PF,神奈川県,ゴードン大学,日本,19900105,186,96,1,14
710,8759,32,小島　佑太,PF,栃木県,拓殖大学,日本,19831031,192,88,1,14
693,8760,23,ディショーン・スティーブンス,PF,アメリカ,サンディエゴ州立大学,アメリカ合衆国,19891009,206,102,0,14
698,8761,13,菅原　洋介,SG/SF,北海道,早稲田大学,日本,19830925,186,83,1,14
699,8762,42,ケビン・コッツァー,PF,アメリカ合衆国,セントメアリー大学,アメリカ合衆国,19891103,202,117,1,14
709,8763,24,ドナルド・ローソン,PF/C,アメリカ　ミシガン州,ウェスタン・ミシガン大学,アメリカ合衆国,19880620,208,110,1,14
